縦に長く片手をイジメ続ける感じの乱打を想定。
隣接階段が目立つものも記載しています。
配置またはBPMが微妙な曲も良譜面度次第で一応入れてあります。これは違うだろ、ってのがあったら適時取捨選択してください。

KING (LEGGENDARIA)	★2.5
ハイテックトキオ (LEGGENDARIA)	★2.7
Megalara Garuda (ANOTHER)	★2.8
Feel The Beat (LEGGENDARIA)	★3.2
PUNISHER (ANOTHER)	★3.3
NNRT (ANOTHER)	★3.3
Aqvion (ANOTHER)	★3.6 前作解禁曲
刃図羅 (ANOTHER)	★3.7
WONDER WALKER (ANOTHER)	★3.9
Stylus (ANOTHER)	★4.0
Slipstream (ANOTHER)	★4.3
水鏡の異界 (ANOTHER)	★4.3
SYNC-ANTHEM (ANOTHER)	★4.4
Roar of Chronos (ANOTHER)	★4.5 前作解禁曲
龍と少女とデコヒーレンス (LEGGENDARIA)	★4.5
Hat Surprise (Season 2) (ANOTHER)	★4.6
神謳 -RESONANCE- (ANOTHER)	★4.6
LASER CRUSTER (IGNITE REMIX) (ANOTHER)	★4.7
Sounds Of Summer (ANOTHER)	★4.8
Fegrix (ANOTHER)	★4.8
Vermilion Carol (ANOTHER)	★4.8
LIGHTNING STRIKES (ANOTHER)	★4.8
glacia (ANOTHER)	★4.9
Resonant (ANOTHER)	★5.0
Visterhv (ANOTHER)	★5.2
destination (ANOTHER)	★5.2
Vinculum stellarum (ANOTHER)	★5.5
Proof of the existence (ANOTHER)	★5.5
世界の果てに約束の凱歌を -ReUnion- (ANOTHER)	★5.6
DORNWALD ～Junge～ (ANOTHER)	★5.7
BIGWAVERS (ANOTHER)	★5.7
Out of Control (ANOTHER)	★5.7
Million Dollar (ANOTHER)	★5.7
AA -rebuild- (ANOTHER)	★5.8
ANCHOR (ANOTHER)	★5.8
Ubertreffen (LEGGENDARIA)	★5.8
Tiempo Loco (ANOTHER)	★5.9
Raison d'etre～交差する宿命～ (ANOTHER)	★5.9
quaver♪ (ANOTHER)	★5.9
Apocalypse (ANOTHER)	★6.0
Close the World feat.a☆ru (LEGGENDARIA)	★6.0
Chaotoxin (ANOTHER)	★6.1
ZEPHYRANTHES (LEGGENDARIA)	★6.1
新宝島 (LEGGENDARIA)	★6.2
Illusionary Waterlily (ANOTHER)	★6.3
MARLIN (ANOTHER)	★6.2 前作解禁曲
恋する☆宇宙戦争っ！！ (LEGGENDARIA)	★6.3
refrain (ANOTHER)	★6.3
dAuntl3ss (ANOTHER)	★6.4
旋律のドグマ～Miserables～ (ANOTHER)	★6.4
Viridian (ANOTHER)	★6.6
entelecheia (ANOTHER)	★6.8
DUAL STRIKER (ANOTHER)	★6.8
Candy Galy (LEGGENDARIA)	★6.9
THE PEERLESS UNDER HEAVEN (ANOTHER)	★7.0
BLACK or WHITE? (ANOTHER)	★7.0
Todestrieb (ANOTHER)	★7.1
EBONY & IVORY (ANOTHER)	★7.2
Arkadia (ANOTHER)	★7.3
ΕΛΠΙΣ (LEGGENDARIA)	★7.4
GRAVITON (ANOTHER)	★7.4
2 Beasts Unchained (ANOTHER)	★7.5
閠槞彁の願い (ANOTHER)	★7.6
伐折羅-vajra- (ANOTHER)	★7.7
Dr. Chemical & Killing Machine (ANOTHER)	★7.8
REVOLVER (LEGGENDARIA)	★8.0
Flashes (ANOTHER)	★8.1
∀ (ANOTHER)	★8.1
X (ANOTHER)	★8.2
